pattern,description,partition,routelist,discard,called_transform_mask,called_prefix_digits,calling_transform_mask,external_mask,block_enable,urgent,dialplan
9.@,"USA Services 411,611,etc",US-PSTN-PT,US-LOCAL-RL,,,,,Off,f,f,NANP
9.1[2-9]XXXXXXXXX,USA Long Distance Route Pattern,US-PSTN-PT,US-LD-RL,,,,,Off,f,f,NULL
[1-8]XXX,On Net to Nortel PBX,Nortel-PBX-PT,KRC-KST-HOU-Nortel-RL,,,,,Off,f,f,NULL
9.713XXXXXXX,"Houston,TX-10 Digit Local Dialing",KRC-KST-HOU-Service-PT,US-LOCAL-RL,,,,,Off,f,f,NULL
9.911,USA Emergency Route Pattern,US-PSTN-PT,US-LOCAL-RL,,,,,Off,f,f,NULL
9.[2-9]XXXXXX,USA Local Route Pattern,KRC-KST-HOU-Restricted,US-LOCAL-RL,,,,,Off,f,f,NULL
9.281XXXXXXX,"Houston,TX-10 Digit Local Dialing",KRC-KST-HOU-Service-PT,US-LOCAL-RL,,,,,Off,f,f,NULL
9.832XXXXXXX,"Houston,TX-10 Digit Local Dialing",KRC-KST-HOU-Service-PT,US-LOCAL-RL,,,,,Off,f,f,NULL
9.1800XXXXXXX,USA Toll Free Route Pattern,US-PSTN-PT,US-LOCAL-RL,,,,,Off,f,f,NULL
9.1866XXXXXXX,USA Toll Free Route Pattern,US-PSTN-PT,US-LOCAL-RL,,,,,Off,f,f,NULL
9.1888XXXXXXX,USA Toll Free Route Pattern,US-PSTN-PT,US-LOCAL-RL,,,,,Off,f,f,NULL
9.1855XXXXXXX,USA Toll Free Route Pattern,US-PSTN-PT,US-LOCAL-RL,,,,,Off,f,f,NULL
9.011!,USA International Route Pattern,US-PSTN-PT,US-LD-RL,,,,,Off,f,f,NULL
9.011!#,USA International Route Pattern,US-PSTN-PT,US-LD-RL,,,,,Off,f,f,NULL
2890,KST Houston Cisco Unity Connection Voicemail Pilot,Cluster-PT,KRC-KST-HOU-Voicemail-RL,,,,,Off,f,f,NULL
85001X,KST Houston IPC Private Wire T1 - Channels 10 - 19,KRC-KST-HOU-RingDown-OutboundPLAR-PT,KRC-KST-HOU-VOIPGW01-RL,,,,,Off,f,f,NULL
